allele_accession_id,effect_size,life_stage_name,marker_symbol,mp_term_name,p_value,parameter_name,parameter_stable_id,phenotyping_center,statistical_method,top_level_mp_term_name
MGI:6336148,1.56790513159735,Late adult,Tspan13,increased heart weight,2.9197396791443e-05,Heart weight,KMPCLA_HWT_008_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight","['cardiovascular system phenotype', 'growth/size/body region phenotype']"
MGI:6162234,-1.35459306469086,Early adult,Edem3,decreased bone mineral density,3.6527549123413e-05,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6336142,1.0,Late adult,Ldaf1,microphthalmia,0.0,Eye with optic nerve,KMPCLA_PAT_002_002,KMPC,Supplied as data,['vision/eye phenotype']
MGI:6336148,-1.3677951391016,Early adult,Tspan13,abnormal bone structure,1.81419832199252e-05,Bone Area,IMPC_DXA_010_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['skeleton phenotype']
MGI:6336115,,Late adult,Dapl1,abnormal coat/hair pigmentation,1.71981308934874e-08,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6156279,1.0,Early adult,Ctdp1,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336115,-1.20864595231322,Early adult,Dapl1,decreased bone mineral content,7.83702515833258e-10,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6156346,1.0,E15.5,Slc25a1,edema,0.0,Edema,IMPC_GEO_064_001,KMPC,Supplied as data,['homeostasis/metabolism phenotype']
MGI:6120726,,Early adult,Aqp9,abnormal tibia morphology,2.99962504686914e-05,Tibia,IMPC_XRY_025_001,KMPC,Fisher Exact Test framework,"['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6378717,-1.17024313554413,Late adult,Mreg,decreased prepulse inhibition,5.59051744606185e-05,% Pre-pulse inhibition - PPI4,KMPCLA_ACS_036_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['nervous system phenotype']
MGI:6336129,-2.19202434402078,Early adult,Pitpnc1,decreased circulating glucose level,3.52978970387425e-05,Glucose,IMPC_CBC_018_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6256796,3.13565845311064,Late adult,Tmem72,increased circulating phosphate level,1.51335625758247e-11,Phosphorus,KMPCLA_CBC_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
NOT-RELEASED-a747ca7c9c,-1.65385961847238,Late adult,Ubxn4,decreased grip strength,5.08875749711183e-07,Forelimb and hindlimb grip strength normalised against body weight,KMPCLA_GRS_011_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal embryo development,0.0,Severely Dysmorphic,IMPC_GEM_060_001,KMPC,Supplied as data,['embryo phenotype']
MGI:6491207,0.97783201607407,Late adult,Slc25a18,increased lean body mass,9.29816648213882e-05,Lean/Body weight,KMPCLA_DXA_008_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['growth/size/body region phenotype']
MGI:6156342,2.64261481279403,Late adult,Pald1,increased freezing behavior,7.0609307090468e-11,Cue Baseline % Freezing Time,KMPCLA_FEA_015_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336109,1.0,Late adult,Ak4,abnormal duodenum morphology,0.0,Small intestine,KMPCLA_PAT_013_002,KMPC,Supplied as data,['digestive/alimentary phenotype']
MGI:6156279,1.0,E9.5,Ctdp1,embryonic lethality prior to organogenesis,0.0,Outcome,IMPC_EVL_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336126,,Late adult,Obp2b,abnormal coat/ hair morphology,1.77630152471929e-05,Coat - hair distribution - back,KMPCLA_CSD_011_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6336109,1.0,Late adult,Ak4,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6156326,2.66321435969002,Early adult,Lingo2,long tibia,1.26287269982048e-05,Tibia length,IMPC_XRY_033_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6341960,0.333823273093163,Early adult,Krt32,increased circulating cholesterol level,5.9674326936628e-05,Total cholesterol,IMPC_CBC_015_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336122,-1.93535770404322,Late adult,Letmd1,decreased prepulse inhibition,5.68272332490987e-05,% Pre-pulse inhibition - PPI4,KMPCLA_ACS_036_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['nervous system phenotype']
MGI:6156314,10.4930400262702,Early adult,Lgr5,"increased CD8-positive, CD25-positive alpha-beta T cell number",8.02981649256974e-08,CD8 CD25+ T cells,IMPC_IMM_016_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6336129,,Early adult,Pitpnc1,increased circulating creatine kinase level,2.04119136377952e-10,Creatine kinase,IMPC_CBC_028_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6256794,1.0,E9.5,Tmem41b,embryonic lethality prior to organogenesis,0.0,Outcome,IMPC_EVL_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6491207,-0.555461757882613,Early adult,Slc25a18,impaired contextual conditioning behavior,6.56935483821365e-05,Difference in Context and Conditioning Baseline % Freezing,IMPC_FEA_105_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:5776369,1.0,E9.5,Asb2,abnormal pericardium morphology,0.0,Pericardium Morphology,IMPC_GEL_006_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6120711,1.0,Early adult,Npas3,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6378717,0.974683544303797,Early adult,Mreg,abnormal auditory brainstem response,5.30188703799476e-05,30kHz-evoked ABR Threshold,IMPC_ABR_012_001,KMPC,Reference Range Plus Test framework; quantile = 0.95 (Tails probability = 0.025),['hearing/vestibular/ear phenotype']
MGI:6336134,-0.766684145420783,Early adult,Slc24a3,thrombocytopenia,1.50568760201001e-05,Platelet count,IMPC_HEM_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['hematopoietic system phenotype']
MGI:6336109,1.0,Late adult,Ak4,abnormal duodenum morphology,0.0,Small intestine,KMPCLA_PAT_013_002,KMPC,Supplied as data,['digestive/alimentary phenotype']
MGI:6336129,-1.46583744855093,Late adult,Pitpnc1,improved glucose tolerance,2.38155443917766e-06,Area under glucose response curve,KMPCLA_IPG_012_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['homeostasis/metabolism phenotype']
MGI:6156326,5.5025445896323,Early adult,Lingo2,increased body length,4.59387784171421e-09,Body length,IMPC_DXA_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['growth/size/body region phenotype']
MGI:6156335,-1.57286208253253,Early adult,Myc,decreased bone mineral density,1.29720315799053e-05,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6336142,1.0,Late adult,Ldaf1,abnormal eye morphology,0.0,Eye with optic nerve,KMPCLA_PAT_002_002,KMPC,Supplied as data,['vision/eye phenotype']
MGI:6336136,1.0,E18.5,Stmn2,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156328,,Early adult,Mir100,abnormal skin coloration,2.09168454390016e-09,Skin color - tail,IMPC_CSD_061_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6306609,,Early adult,Spry4,decreased grip strength,3.74492665765386e-12,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6509076,,Early adult,Hdac7,abnormal coat/hair pigmentation,5.49285417355778e-10,Coat - color - head,IMPC_CSD_006_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336111,1.0,Late adult,Anxa13,enlarged seminal vesicle,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6156329,-0.541951880906686,Late adult,Mir129-2,decreased total body fat amount,2.27126484568135e-05,Fat mass,KMPCLA_DXA_002_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['adipose tissue phenotype']
MGI:6336146,1.04873073092141,Early adult,Tpte,hyperactivity,5.29497383361388e-06,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal embryo size,0.0,Embryo Size,IMPC_GEM_019_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:7461419,1.60017791248787,Early adult,Ano4,hyperactivity,2.07973272597214e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336115,-2.47001100645546,Early adult,Dapl1,decreased exploration in new environment,7.12895317763424e-10,Locomotor activity,IMPC_CSD_032_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6156299,,Late adult,Krt26,abnormal digit morphology,1.37283796126196e-05,Hindlimb digit - size,KMPCLA_CSD_047_001,KMPC,Fisher Exact Test framework,['limbs/digits/tail phenotype']
MGI:6241474,-2.43352015632286,Late adult,Erap1,hyperactivity,1.408016655445e-06,Whole arena resting time,KMPCLA_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336146,,Early adult,Tpte,abnormal spine curvature,1.51061054640574e-05,Shape of spine,IMPC_XRY_055_001,KMPC,Fisher Exact Test framework,['skeleton phenotype']
MGI:7425738,1.0,E18.5,Hdac2,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156345,1.0,E9.5,Romo1,abnormal embryo size,0.0,Embryo Size,IMPC_GEL_032_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6256796,1.58492912327177,Early adult,Tmem72,increased lean body mass,3.15564919807835e-09,Lean/Body weight,IMPC_DXA_008_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['growth/size/body region phenotype']
MGI:6156344,,Late adult,Qsox1,abnormal skin coloration,9.4077516806992e-06,Skin color - whole body,KMPCLA_CSD_056_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6336110,1.0,Early adult,Ammecr1l,"preweaning lethality, incomplete penetrance",,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336117,1.90825446753398,Late adult,Edem1,increased lean body mass,1.10762108464951e-09,Lean/Body weight,KMPCLA_DXA_008_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['growth/size/body region phenotype']
MGI:6729666,,Late adult,Zfp746,abnormal coat/hair pigmentation,3.00187375397837e-05,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336143,1.0,E18.5,Tmem17,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336149,1.66360221055532,Early adult,Tspan5,hyperactivity,3.1190244963167e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:7425738,1.0,E18.5,Hdac2,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal embryo development,0.0,Severely Dysmorphic,IMPC_GEM_060_001,KMPC,Supplied as data,['embryo phenotype']
MGI:6120719,1.0,E9.5,Phgdh,abnormal visceral yolk sac morphology,0.0,Visceral yolk sac morphology,IMPC_GEL_018_001,KMPC,Supplied as data,['embryo phenotype']
MGI:5776369,1.0,E9.5,Asb2,abnormal pericardium morphology,0.0,Pericardium Morphology,IMPC_GEL_006_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6341959,-2.327781681586,Early adult,Tmem163,decreased bone mineral content,1.45337038308578e-15,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:5776369,-6.3966969533727,Early adult,Asb2,increased Ly6C-positive mature NK cell number,3.06903677147174e-05,NK Subsets (Q4),IMPC_IMM_057_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6336110,1.0,E18.5,Ammecr1l,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6729665,1.56747779654263,Early adult,Rtp4,hyperactivity,7.94077268392862e-06,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336146,,Early adult,Tpte,kyphosis,1.51061054640574e-05,Kyphosis,IMPC_XRY_057_001,KMPC,Fisher Exact Test framework,['skeleton phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal embryo size,0.0,Embryo Size,IMPC_GEM_019_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6194941,1.0,Late adult,Tmem86a,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:5896365,2.15187504803865,Late adult,Aanat,hyperactivity,7.02968379667258e-07,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6727864,1.0,E9.5,Dapk3,abnormal embryo size,0.0,Embryo Size,IMPC_GEL_032_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336114,3.39335909042308,Early adult,Col6a3,increased circulating LDL cholesterol level,3.91448352192115e-06,LDL-cholesterol,IMPC_CBC_025_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:5776369,1.0,E9.5,Asb2,abnormal vitelline vasculature morphology,0.0,Vitelline vasculature morphology,IMPC_GEL_015_001,KMPC,Supplied as data,"['embryo phenotype', 'cardiovascular system phenotype']"
MGI:6386298,,Late adult,Tmem175,abnormal coat/hair pigmentation,1.31425716548836e-06,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6341961,0.25550041356493,Late adult,Ik,abnormal cornea morphology,4.25818847286805e-05,Cornea,KMPCLA_EYE_007_001,KMPC,Fisher Exact Test framework,['vision/eye phenotype']
MGI:6120719,1.0,E15.5,Phgdh,abnormal embryo size,0.0,Embryo Size,IMPC_GEO_019_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6256796,-1.54505140645314,Late adult,Tmem72,decreased blood urea nitrogen level,7.29167136535036e-05,Urea (Blood Urea Nitrogen - BUN),KMPCLA_CBC_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6341959,-2.39606035519552,Early adult,Tmem163,decreased bone mineral density,4.60662352414106e-12,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['skeleton phenotype']
MGI:6336141,1.0,E18.5,Tmem132e,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6341959,-1.49955059053597,Early adult,Tmem163,abnormal bone structure,6.82015312040368e-06,Bone Area,IMPC_DXA_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6188495,-1.18218964087488,Early adult,Angptl1,hyperactivity,3.6461801195431e-05,Whole arena resting time,IMPC_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:4840811,1.29319143395301,Late adult,Peli3,increased lean body mass,3.31990422541067e-05,Lean/Body weight,KMPCLA_DXA_008_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['growth/size/body region phenotype']
MGI:6156335,1.0,Early adult,Myc,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336127,,Early adult,Pank4,increased freezing behavior,3.20027227629639e-06,Cue Baseline % Freezing Time,IMPC_FEA_015_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['behavior/neurological phenotype']
MGI:6160166,0.186141304347826,Late adult,E2f3,abnormal snout morphology,3.13176916097021e-05,Snout size,KMPCLA_CSD_028_001,KMPC,Fisher Exact Test framework,"['craniofacial phenotype', 'growth/size/body region phenotype']"
MGI:6156344,-1.53907107417008,Late adult,Qsox1,decreased fasting circulating glucose level,4.52562759645225e-06,Fasted blood glucose concentration,KMPCLA_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336110,1.0,E18.5,Ammecr1l,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156296,1.0,Late adult,Itgbl1,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6156314,4.4022152859941,Early adult,Lgr5,increased CD11b-high dendritic cell number,7.89855684798619e-06,cDCs CD11b Type,IMPC_IMM_073_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6336115,-2.34108801495257,Late adult,Dapl1,decreased thigmotaxis,3.69752447298152e-05,Periphery permanence time,KMPCLA_OFD_012_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal hindbrain morphology,0.0,Hindbrain morphology,IMPC_GEM_069_001,KMPC,Supplied as data,['nervous system phenotype']
MGI:6491207,1.88858861129896,Late adult,Slc25a18,increased grip strength,1.72415677548839e-05,Forelimb grip strength normalised against body weight,KMPCLA_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336109,1.26008567923062,Late adult,Ak4,increased bone mineral content,8.76051921851146e-05,Bone Mineral Content (excluding skull),KMPCLA_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6156344,,Late adult,Qsox1,abnormal skin coloration,4.21056361240883e-05,Skin color - whole body,KMPCLA_CSD_056_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:7425649,3.0373809259674,Early adult,Ehf,thrombocytosis,1.05339826127379e-07,Platelet count,IMPC_HEM_008_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6336148,-1.85989873674458,Early adult,Tspan13,decreased bone mineral content,5.64036914758453e-07,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6156344,-1.59553203426218,Late adult,Qsox1,decreased prepulse inhibition,7.41120768654008e-07,% Pre-pulse inhibition - PPI2,KMPCLA_ACS_034_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['nervous system phenotype']
MGI:6336134,,Late adult,Slc24a3,abnormal coat/hair pigmentation,1.48783830055286e-07,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6341960,1.0,Late adult,Krt32,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6156344,0.729207655709939,Late adult,Qsox1,increased grip strength,3.75743713577203e-05,Forelimb and hindlimb grip strength normalised against body weight,KMPCLA_GRS_011_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336134,1.58328716668681,Early adult,Slc24a3,increased fluid intake,3.17440079126386e-05,Total water intake,IMPC_CAL_021_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6241474,2.28073939899723,Late adult,Erap1,hyperactivity,2.12958597128387e-05,Distance travelled - total,KMPCLA_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6256794,1.0,Early adult,Tmem41b,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:7425738,1.0,E18.5,Hdac2,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336148,-1.93987100223461,Early adult,Tspan13,decreased prepulse inhibition,5.38685485004306e-06,% Pre-pulse inhibition - Global,IMPC_ACS_037_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['nervous system phenotype']
MGI:5776369,5.59939044503261,Early adult,Asb2,increased T cell number,6.08619217338235e-05,T cells (panel A),IMPC_IMM_003_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6120719,1.0,E15.5,Phgdh,abnormal head shape,0.0,Head shape,IMPC_GEO_015_001,KMPC,Supplied as data,"['craniofacial phenotype', 'growth/size/body region phenotype']"
MGI:7425649,-0.741934216455952,Early adult,Ehf,decreased locomotor activity,5.4487478216013e-06,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6341961,1.0,E12.5,Ik,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336134,7.10288632043365,Early adult,Slc24a3,increased mean platelet volume,2.59414120939979e-27,Mean platelet volume,IMPC_HEM_019_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6120760,,Late adult,Irx6,abnormal skin coloration,1.26180919701575e-06,Skin color - whole body,KMPCLA_CSD_056_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6156274,0.690846713573149,Early adult,Cav3,increased prepulse inhibition,3.02428726225e-05,% Pre-pulse inhibition - PPI4,IMPC_ACS_036_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['nervous system phenotype']
MGI:5776369,16.585105331504,Early adult,Asb2,decreased Ly6C-positive immature NK cell number,2.36794466194671e-09,NK Subsets (Q3),IMPC_IMM_056_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6729665,1.83884300983498,Late adult,Rtp4,hyperactivity,3.45395333980148e-06,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:5776369,1.0,E9.5,Asb2,abnormal embryo size,0.0,Embryo Size,IMPC_GEL_032_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336109,2.0280609283375,Late adult,Ak4,increased circulating LDL cholesterol level,2.73699707795499e-09,LDL-cholesterol,KMPCLA_CBC_025_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6156314,1.0,E18.5,Lgr5,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336141,1.0,E18.5,Tmem132e,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156275,,Late adult,Crot,abnormal coat/hair pigmentation,1.06988372418788e-06,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:5896365,0.470833333333333,Late adult,Aanat,abnormal coat/hair pigmentation,1.86250673548094e-06,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336136,1.0,E18.5,Stmn2,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336115,-1.797990827475,Early adult,Dapl1,decreased bone mineral density,1.05465555342975e-07,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6491207,1.0,Early adult,Slc25a18,abnormal seminal vesicle morphology,0.0,Seminal vesicle,IMPC_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6120711,1.0,E18.5,Npas3,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6120719,1.0,E9.5,Phgdh,abnormal embryo turning,0.0,Embryo turning,IMPC_GEL_011_001,KMPC,Supplied as data,['embryo phenotype']
MGI:6156346,1.0,E12.5,Slc25a1,abnormal tail morphology,0.0,Tail Morphology,IMPC_GEM_029_001,KMPC,Supplied as data,['limbs/digits/tail phenotype']
MGI:6404487,1.0,E9.5,Tars2,embryonic lethality prior to organogenesis,0.0,Outcome,IMPC_EVL_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6491207,3.43772705833238,Early adult,Slc25a18,increased circulating alanine transaminase level,1.2357465041608e-09,Alanine aminotransferase,IMPC_CBC_013_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336115,-0.841306615011472,Early adult,Dapl1,decreased bone mineral content,1.99316789639876e-06,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6509076,,Early adult,Hdac7,abnormal coat/hair pigmentation,5.49285417355778e-10,Coat - color - back,IMPC_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6162234,-1.53957969124655,Early adult,Edem3,decreased bone mineral content,2.99509381490277e-06,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6336148,-2.4305704292931,Early adult,Tspan13,decreased thigmotaxis,1.74989666141504e-05,Periphery permanence time,IMPC_OFD_012_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
